uri,type,label,comment
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/24597,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Rotterdamse Ver Kath Ond,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/24597,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,R'damse Ver. v. Kath. Onderw.,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/24597,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Stichting R'damse Ver. v. K.O.,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/25403,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Chr SO Amersfoort eo,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/83826,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,STG VO/BO OP REF GRDSLAG,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/26093,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Stg Kath Sgm Etten Leur,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/26093,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,KSE Etten-Leur,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/26093,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Stichting KSE,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/26093,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Stg. Kath. Scholengem.schap EL,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/83111,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,STG VOORTGEZET ONDERWIJS,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/26574,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Ver Chr Nat Sch Ond,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/26898,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Ver SGM h A'dams Lyceum,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/26898,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Het Amsterdams Lyceum,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/27145,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Stg het Herv Lyc Zuid,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/27418,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Stg Kavom,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/27418,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Stg KAVOM,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/27731,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Sch Stg Nijmegen West,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/27783,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Amst Stg Kath V O Sgm,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/27783,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Amst Stg Kath V O SGM,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/27900,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Stg Int School Eerde,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/27900,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Sticht. Int. School Eerde,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/28212,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Stg De Vrye Sch Zutphen,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/28212,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Stg Vrije School NO Ned,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/28212,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,de Vrije School N en O Nederl.,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/28225,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Stg Sch Mgr Terwindt,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/28225,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Stichting Viataal Onderwijs,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/28394,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Ver Chr VO Zeeuwsch Vl,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/28394,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Ver. v. Chr. Voortgez. Onderw.,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/28640,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Stg Chr Ondernemerssch,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/00003,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Min OCenW Afd Vrlichting,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10000,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Stadsdeelraad N Gem Amst,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10001,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Stadsdeelraad Osdorp,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10021,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Gemeente Alkmaar,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10024,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Gem Utrecht Afd Ond,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10028,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Gemeente Ameland,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10034,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Gem Amstelveen D Ond E C,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10034,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Gem Amstelveen Afd OCO,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10047,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Gemeente Appingedam,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10053,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Gem Assen,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10053,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Gemeente Assen,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10054,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Stadsd Zuid Sec Ond,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10054,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Amsterdam Oud Zuid,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10070,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Sector Welzijn Kr 5290,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10070,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Sector Welzijn kr 3310,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10134,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Std Sl Vaart Overt Veld,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10138,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Gem Almere Afd Owsosr,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10142,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Gemeente Zeewolde,
http://lod.onderwijsregistratie.nl/rio/id/BevoegdGezagErkenning/10149,http://lod.onderwijsregistratie.nl/cat/rio/def/BevoegdGezagErkenning,Gem Breda Saw Bur Oo,
